"brand","model","vehicle_age","km_driven","seller_type","fuel_type","transmission_type","mileage","engine","max_power","seats","selling_price","actual_price","fixed_profit"
"Audi","A4","3","34500","Individual","Diesel","Automatic","18.25","1968","187.74","5","3000000","2915000","85000"
"Audi","A4","5","55000","Dealer","Petrol","Automatic","17.84","1395","147.51","5","1851000","1766000","85000"
"Audi","A4","7","56000","Dealer","Diesel","Automatic","16.55","1968","147.51","5","1550000","1465000","85000"
"Audi","A4","8","65000","Dealer","Diesel","Automatic","16.55","1968","147.51","5","1200000","1115000","85000"
"Audi","A4","8","78000","Dealer","Diesel","Automatic","16.55","1968","147.51","5","1290000","1205000","85000"
"Audi","A4","9","23994","Dealer","Diesel","Automatic","17.11","1968","174.33","5","1275000","1190000","85000"
"Audi","A4","10","61000","Individual","Diesel","Automatic","15.2","1968","140.8","5","1000000","915000","85000"
"Audi","A6","1","3000","Dealer","Petrol","Automatic","17.01","1984","241.3","5","4600000","4515000","85000"
"Audi","A6","3","24000","Dealer","Diesel","Automatic","17.68","1968","174.33","5","3490000","3405000","85000"
"Audi","A6","7","21000","Dealer","Diesel","Automatic","17.68","1968","174.33","5","1800000","1715000","85000"
"Audi","A6","8","60000","Individual","Diesel","Automatic","17.68","1968","174.33","5","1700000","1615000","85000"
"Audi","Q7","7","120000","Individual","Diesel","Automatic","12.07","2967","241.4","7","2400000","2315000","85000"
"Audi","Q7","8","28000","Dealer","Diesel","Automatic","12.07","2967","241.4","7","2650000","2565000","85000"
"Audi","Q7","9","98000","Dealer","Diesel","Automatic","12.07","2967","241.4","7","2000000","1915000","85000"
"Audi","Q7","10","65000","Dealer","Diesel","Automatic","11.33","4134","335.2","7","1890000","1805000","85000"
"BMW","3","5","68000","Dealer","Diesel","Automatic","22.69","1995","190","5","2090000","2005000","85000"
"BMW","3","7","23746","Dealer","Diesel","Automatic","22.69","1995","190","5","1600000","1515000","85000"
"BMW","3","9","54000","Dealer","Diesel","Automatic","19.62","1995","187.74","5","825000","740000","85000"
"BMW","3","10","52420","Dealer","Diesel","Automatic","22.69","1995","190","5","750000","685000","65000"
"BMW","3","10","98955","Dealer","Diesel","Automatic","13.2","1995","170","5","575000","510000","65000"
"BMW","5","3","7000","Dealer","Diesel","Automatic","22.48","1995","187.74","5","4750000","4665000","85000"
"BMW","5","5","52890","Dealer","Diesel","Automatic","18.12","1995","190","5","2800000","2715000","85000"
"BMW","5","5","63000","Dealer","Diesel","Automatic","18.59","2993","261.49","5","2600000","2515000","85000"
"BMW","6","3","30000","Individual","Petrol","Automatic","14.28","1998","254.7","4","5500000","5415000","85000"
"BMW","7","4","18000","Dealer","Diesel","Automatic","17.66","2993","355.37","4","6900000","6815000","85000"
"BMW","7","10","78251","Dealer","Diesel","Automatic","14.49","2993","258","5","1600000","1515000","85000"
